,Source,ID,Class,Text
45,lucene,46,2,Currectl
46,lucene,47,1,How about switching documentCache off?
47,lucene,48,1,A - Rich document processing (Wor
48,lucene,49,2,- > > > > > > > > <field column=\full_name\ xpat0Aand can be used as a !DataSource. It must be3A//abc.com/a.txt\ dataSource=\data-source-name\>
49,lucene,50,2,{code:title=solrconfig.xml}
50,lucene,320,2,A [junit] Running org.apache.solr.request.JSONWriterTest
51,lucene,52,1,That may be the way to g
52,lucene,53,2,<field name=\foo\>lat lon</field>
53,lucene,54,1,Add Query Spellchecker functionality
54,lucene,55,1,Spatial feature set for distance searching (restricted by distance) &
55,lucene,56,2,http://master_host:port/solr/replication?command=backup<
56,lucene,57,1,anytime lucene jars are upgrade
57,lucene,58,1,the SolrCoreAware impl-s again so that the impl-s can assign the new
58,lucene,59,1,Just need to synch the distibution with the maven repositories
59,lucene,60,1,lucene in some structure (see other thread)
60,lucene,61,1,Changed the input validation to only do basic input validation. We now only check if the thing looks like an UUID.
61,lucene,62,1,You're a mind reader ;-)
62,lucene,63,2,long b=A[i+4
63,lucene,449,2,[junit] Test org.apache.solr.TestDistributedSearch FAILED
64,lucene,65,1,This changes AddUpdateCommand to want 'update' and depricates the other flags
65,lucene,472,1,Lately I been seeing the following in my solrconfig.xml
66,lucene,67,1,Here I submit a patch that allows for such subclassing. The change that is done to the code base in the following steps:
67,lucene,563,1,// generated from pop_array via sed 's/A\\[\\([^]]*\\)\\]/\\(A[\\1] \\& B[\\1]\\)/g'
68,lucene,22,2,Attachments: SOLR-193-SolrDocument.patc
69,lucene,70,1,you probably need to get your user-id approved.
70,lucene,71,1,download external JARs (we replaced all the LGPL code and persuaded
71,lucene,72,2,at org.apache.solr.handler.dataimport.DocBuilder.deleteAll(DocBuilder.java:275)
72,lucene,73,1,what???
73,lucene,74,1,Are you suggesting dropping SolrCoreAware and replace it with IndexSchemaAware ?
74,lucene,75,1,: Maybe it belongs in solrconfig.xml as an option on the standard
75,lucene,76,1,This patch extends StatsComponent to multivalued fields by adding a method to the UnInvertedField which populates a StatsValues instance as it iterates across attribute values.
76,lucene,77,1,Solr must declare crypto usage pending SOLR-282
77,lucene,78,1,The patch file to grab is solr-215.patch.zip (see MISC session below).
78,lucene,23,2,Key: SOLR-1532
79,lucene,80,1,That will find more matches. See recent threads around fuzzy search.
80,lucene,81,1,facet count for the non-collapsed value then when I click on that facet
81,lucene,82,1,If one were using the standard request handle
82,lucene,83,2,A at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:27)
83,lucene,84,2,<property name='mp0'>a value</property>  <!-- a basic property -->
84,lucene,85,2,at org.apache.solr.schema.FieldType.storedToIndexed(FieldType.java:248)
85,lucene,86,1,method
86,lucene,87,1,If you think it was sent incorrectly contact one of the administrators: http://issues.apache.org/jira/secure/Administrators.jspa
87,lucene,88,1,Whenever possible
88,lucene,89,1,could do the job with either
89,lucene,90,1,// an interface for objects that support the scheme
90,lucene,91,2,protocol.java:583)
91,lucene,24,2,*	*alias*: adds an alias to this SolrCore
92,lucene,93,1,On Thu Jack wrote
93,lucene,94,2,public int unionSize(DocSet other) {
94,lucene,95,1,Change Admin components to return XML like the rest of the system
95,lucene,96,1,For facetA and facetB it is easy to select the correct fq=FACET:value . But to be able to see the document that have missing facets one needs to specifiy a NOT fq= for every value in the facet.
96,lucene,97,1,Assertion is that the result is And (forceFirstLetter = true)
97,lucene,98,1,an offhand comment I saw recently reminded me of something that really bugged me about the serach solution i used *before* Solr -- it didn't play nicely with HTTP caches that might be sitting in front of it.
98,lucene,99,2,<fieldtype name=\text_ngram\ class=\solr.TextField\ positionIncrementGap=\100\>
99,lucene,100,2,URL: https://issues.apache.org/jira/browse/SOLR-1322
100,lucene,101,1,make SolrDispatchFilter look up another init parameter
101,lucene,102,1,#NAME?
102,lucene,37,1,Reporter: Chris Male
103,lucene,104,2,URL: https://issues.apache.org/jira/browse/SOLR-205
104,lucene,105,1,+   // TODO: We have some constants in SolrQueryRequestBas
105,lucene,106,2,[junit] 2008-08-05 18:08:57.314::INFO:  Shutdown hook complete
106,lucene,107,1,Constants in org.apache.solr.schema aren't visible to classes outside that package
107,lucene,108,2,<property name=\ctlField\ value=\core0\/>
108,lucene,109,2,function querie
109,lucene,110,2,[junit] Severe_errors_in_solr_configuration__Check_your_log_files_for_more_detailed_information_on_what_may_be_wrong__If_you_want_solr_to_continue_after_configuration_errors_change____abortOnConfigurationErrorfalseabortOnConfigurationError__in_solrconfigxml___orgxmlsaxSAXParseException_Premature_end_of_file__at_orgapachexercesparsersDOMParserparseUnknown_Source__at_orgapachexercesjaxpDocumentBuilderImplparseUnknown_Source__at_javaxxmlparsersDocumentBuilderparseDocumentBuilderjava98__at_orgapachesolrcoreConfiginitConfigjava104__at_orgapachesolrschemaIndexSchemareadSchemaIndexSchemajava395__at_orgapachesolrschemaIndexSchemainitIndexSchemajava95__at_orgapachesolrcoreCoreContainercreateCoreContainerjava340__at_orgapachesolrcoreCoreContainerreloadCoreContainerjava402__at_orgapachesolrhandlerSnapPuller$2runSnapPullerjava378_
110,lucene,111,1,Let me again say how impressed I am with Solr!  The documentation has
111,lucene,112,1,h4. Technical specifications
112,lucene,113,2,- > > > > > > A tempDir=\${build.dir.backwards}/test\
113,lucene,114,1,me:
114,lucene,115,2,<flags>65535</flags>
115,lucene,116,1,If we were to create class loaders not per instance but per 'lib' directory
116,lucene,117,2,[ http://issues.apache.org/jira/browse/SOLR-58?page=comments#action_12458631 ]
117,lucene,118,1,traditional single core to usage to multicore usag
118,lucene,119,1,View this message in context: http://www.nabble.com/synonyms-tf4925232.html#a14096050
119,lucene,120,1,set since others may be using the same one.
120,lucene,121,1,I'm using the python response format for several one-off scripts (it's
121,lucene,122,1,You put in a lower bound of \abc\
122,lucene,39,2,+ JETTY-258 duplicate log message in ServletHandler
123,lucene,124,2,[ https://issues.apache.org/jira/browse/SOLR-896?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]
124,lucene,51,2,+ JETTY-297 Recreate tmp dir on stop/start
125,lucene,126,1,(including the StandardRequestHandler that want to use the basic
126,lucene,127,1,Primary and Secondary don't quite sound right for the Solr
127,lucene,64,1,Uwe Schindler commented on SOLR-1677:
128,lucene,129,2,java:633)
129,lucene,130,2,: -<a name=\N10095\></a><a name=\Core\></a>
130,lucene,131,2,$ ant -Drun.clover=true clean clover test
131,lucene,66,1,Components: update
132,lucene,68,2,* Shard/SolrCore distribution and management
133,lucene,134,1,I hope this can make it simpler to implement SOLR-1131
134,lucene,135,1,committed r899580
135,lucene,69,2,Attachments: SOLR-1553.patch
136,lucene,137,2,A [junit] Running org.apache.solr.highlight.HighlighterTest
137,lucene,138,2,throw e;
138,lucene,139,2,at javax.servlet.http.HttpServlet.service(HttpServlet.java:689)
139,lucene,140,2,HashDocSet.andNotSize(other
140,lucene,141,1,If mlt.boost=true then you get normalized boost multiplied by specified
141,lucene,142,2,[junit] 2008-03-25 11:25:21.256::INFO:  Shutdown hook executing
142,lucene,143,2,<mkdir dir=\${dist}\ />
143,lucene,144,1,#NAME?
144,lucene,79,1,Kay Kay updated SOLR-914:
145,lucene,146,1,while an \sint\ field will show
146,lucene,92,2,Total time: 32 minutes 6 seconds
147,lucene,148,1,We can think of supporting this too ...
148,lucene,149,1,Thanks for this effort.  I'll commit your tests after you make these adjustment
149,lucene,150,1,http://pyro.holsman.net:9081/top/ -- slightly obfuscated queries (to
150,lucene,151,1,OK... looks like we'll need to re-spin.
151,lucene,152,2,// maxDocs-triggered autoCommit
152,lucene,153,1,why don't you use fq parameter: fq=permission:yes in your case?
153,lucene,154,2,core = new SolrCore(\foo
154,lucene,155,1,go for it....
155,lucene,156,1,Personal
156,lucene,103,1,noble.paul edited comment on SOLR-486 at 7/22/08 9:32 PM:
157,lucene,125,2,Attachments: SOLR-767.patch
158,lucene,159,1,behavior.  The only reason i think we should eventually change this will
159,lucene,128,1,- Data import handler - if use
160,lucene,161,1,body data. For example
161,lucene,162,1,character stream.\ Is there something obvious I'm doing wrong? Does the
162,lucene,163,2,URL: http://issues.apache.org/jira/browse/SOLR-20
163,lucene,132,1,shared
164,lucene,165,2,Attachment: SOLR-604.patch
165,lucene,166,1,Noble Paul updated SOLR-1600:
166,lucene,167,1,Modified:
167,lucene,133,1,+ JETTY-175 JDBCUserRealm use getInt instead of getObject
168,lucene,169,1,checkpoint patch
169,lucene,170,1,: Cool - just checking that it was appropriate - wasn't sure if that stuff
170,lucene,171,1,i'm confused ... assuming these facet counts are for field \facetField\ then can't all the docs counted by facet.missing be retrieved using: {{fq=-facetField:[* TO *]}} ?
171,lucene,172,2,<property name=\java.vm.specification.vendor\ value=\Sun
172,lucene,173,2,4. solr-server (war)
173,lucene,136,1,Ryan McKinley updated SOLR-695:
174,lucene,175,1,* with stream.BODY - puts the content of the parameter into a stream
175,lucene,176,2,[junit] 2008-08-25 08:09:17.842::INFO:  Shutdown hook complete
176,lucene,177,2,-solr-1.1.0-incubating\\example\\ext\\mx4j.jar
177,lucene,178,2,http://www.lucidimagination.com/search/document/79b65c358374d10/jira_convention_resolved_vs_closed
178,lucene,179,1,interface and includes a concrete implementation (SimpleSolrDoc)
179,lucene,180,2,C:\\Documents and Settings\\yaponte\\Configuration
180,lucene,181,1,I'll take a look at it and see see about getting it working
181,lucene,182,2,@@ -18
182,lucene,183,2,URL: https://issues.apache.org/jira/browse/SOLR-1353
183,lucene,184,2,[ https://issues.apache.org/jira/browse/SOLR-567?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=12595580#action_12595580 ]
184,lucene,185,1,(and leaving src/webapps/src where it is leaves open the possibility of me
185,lucene,186,2,client/ruby/solr-ruby/test/unit/spellcheck_response_test.rb
186,lucene,187,2,- > > > > > > <sysproperty key=\lucene.common.dir\ file=\${common.dir}\ />
187,lucene,188,1,might be \foo
188,lucene,189,2,_acceptorThread[_acceptor]=current;
189,lucene,190,1,the lastModifiedSince and expires headers and not Tomcat. Similiarily
190,lucene,191,2,: +  </form>
191,lucene,192,1,is top priority.
192,lucene,193,1,Environment: My local MacBook pro laptop.
193,lucene,194,1,On Dec 1
194,lucene,157,2,Attachments: SOLR-1470.patch
195,lucene,160,2,Attachments: rss2.patch
196,lucene,197,2,org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterCh
197,lucene,164,1,Noble Paul updated SOLR-1164:
198,lucene,199,1,ok
199,lucene,200,1,My team has hit the maxDocBytesToAnalyze limitation a while back and decided to add a quick configuration parameter to solr-config.xml. I'll attach a patch momentarily (based on Solr 1.2.0 source code) that includes the implementation.
200,lucene,201,1,Make XMLWriter write out xml that references the SOLR response XSD/DTD
201,lucene,202,1,I think this is patch #
202,lucene,203,1,* Conforms (mostly) to PEP 8 -- the Python Style Guide
203,lucene,204,1,A possible solution to the windows replication problem would be.
204,lucene,205,1,zookeeper... prob want that for cluster management anyway)
205,lucene,206,1,Here is one example.  Imagine a field called \IDs\ that can have 1 or more tokens in it and imagine docs with the following \IDs\ get returned:
206,lucene,207,1,How would you feel about an interface like this:
207,lucene,208,2,Attachment: SOLR-879.patch
208,lucene,209,1,manipulate the data in between those two stages.
209,lucene,210,1,lookup tables because the tables get either too large or need too many
210,lucene,211,2,Related: SOLR-575
211,lucene,212,1,fine
212,lucene,213,1,CoreContainer serialization keeps properties as defined; persistence is idem-potent. (ie property expressions are writte
213,lucene,214,2,contrib/javascript/src/core/QueryItem.js
214,lucene,215,2,PrintWriter out = response.getWriter();
215,lucene,216,1,added explicit calls to substituteProperties to perform property/include expansion
216,lucene,217,1,Subject: REMINDER: ***  Board Reports DUE! ***
217,lucene,168,1,Hoss Man commented on SOLR-689:
218,lucene,219,1,Javadoc
219,lucene,220,1,2. The response.setContentType() encoding of the page.
220,lucene,221,2,public void testInterface()
221,lucene,174,2,Affects Versions: 1.3
222,lucene,223,2,public int compareTo(CountPair<
223,lucene,224,1,As the trunk stands no
224,lucene,225,2,at javax.xml.parsers.DocumentBuilder.parse(Unknown Source)
225,lucene,226,1,I believe that the main thing missing is the various functions (which
226,lucene,227,1,From the comment in solrconfig.xml
227,lucene,228,2,: + <html>
228,lucene,229,1,If the conditions are too tigh
229,lucene,195,1,Shalin Shekhar Mangar updated SOLR-1604:
230,lucene,231,1,The field declaration could be as follows
231,lucene,232,1,: Should Solr have a tab on Lucene's home page?  Other incubating
232,lucene,233,2,[ https://issues.apache.org/jira/browse/SOLR-192?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#action_12523042 ]
233,lucene,234,2,: > > A Assert.assertEquals( item.categories.length
234,lucene,235,2,Environment: Java - Lucene - Solr - DataImportHandler
235,lucene,236,2,<xs:element type=\xs:int\ name=\flags\ maxOccurs=\1\/>
236,lucene,237,1,The side effect is that this also allows different indexes.
237,lucene,238,1,I guess it hasn't been a high priority since it deals with handling of
238,lucene,239,2,at hudson.model.Build.run(Build.java:88)
239,lucene,196,2,At 11:30 PM -0800 2/21/0
240,lucene,241,1,cache is not to avoid OOM. Set your cache sizes correctly for that. And
241,lucene,242,1,Or... ??
242,lucene,243,1,# SolrResourceLoader keeps a reference to the CoreDescriptor to get access to the core specific properties.
243,lucene,244,1,This patch clashes with the changes in SOLR-55
244,lucene,245,2,AU  client/ruby/flare/public/images/pie_76.png
245,lucene,246,1,#NAME?
246,lucene,247,2,java -Durl='http://localhost:8983/solr/core1/update' -jar post.jar mon*.xml
247,lucene,198,2,Attachments: SOLR-864.patch
248,lucene,249,1,character set conversion facilities (InputStreamReader
249,lucene,250,1,Solr too.
250,lucene,251,1,general web
251,lucene,252,1,Seems to me that solr-255/solr-215 features are mostly orthogonal; solr-255 allows one core to use multiple indexe
252,lucene,222,2,Grant Ingersoll reassigned SOLR-330:
253,lucene,230,1,Reporter: Janne Majaranta
254,lucene,255,1,some fields/methods are changed from private to public/protected so that this can be used extend the format
255,lucene,240,2,Context.registerEventListener(listener
256,lucene,257,2,int numWords) {
257,lucene,258,1,: > -Yonik
258,lucene,259,1,awesome
259,lucene,260,1,out
260,lucene,261,1,* @param name Name of the dataSource as defined in the dataSource tag
261,lucene,262,1,You should be seeing a log message similar to:
262,lucene,263,2,[junit] 2008-08-07 08:23:49.035::INFO:  Shutdown hook complete
263,lucene,264,2,/solr/admin/stats.js
264,lucene,265,2,https://issues.apache.org/jira/browse/SOLR-1527
265,lucene,266,2,+    c = d.connect(url
266,lucene,267,1,is named after one specific feature of the application.
267,lucene,248,2,Duplicate of SOLR-940.
268,lucene,269,1,And see if that helps. I had the same problem (different language.)
269,lucene,270,1,Currently DIH fails completely on any error. We must have better control on error behavior
270,lucene,271,2,[ https://issues.apache.org/jira/browse/SOLR-773?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=12757684#action_12757684 ]
271,lucene,272,2,{code}rsp.setHttpCaching(true/false);{code}
272,lucene,273,2,URL: https://issues.apache.org/jira/browse/SOLR-1590
273,lucene,274,2,URL: http://svn.apache.org/viewvc/lucene/solr/trunk/client/java/solrj/src/org/apache/solr/client/solrj/embedded/EmbeddedSolrServer.java?rev=678624&r1=678623&r2=678624&view=diff
274,lucene,253,2,[shalin] SOLR-1053 -- IndexOutOfBoundsException in SolrWriter.getResourceAsString when size of data-config.xml is a multiple of 1024 bytes
275,lucene,276,1,From solr-user...
276,lucene,277,1,deleted.Where i have to deleted the searched result.In which class?
277,lucene,278,1,I wrote a simple SearchComponent on the plane the other day that gives access to Lucene's TermEnum capabilities.  I think this will be useful for doing auto-suggest and other term based operations.  My first draft is not distribute
278,lucene,279,1,to why the change was made.
279,lucene,280,1,This passes a new test that adds the same doc multiple times.  BUT it does commit each time.
280,lucene,281,1,bq.That's a good idea - but do we actually use any iterator or Iterable objects?
281,lucene,282,1,people should be fine with trunk
282,lucene,283,1,This version adds a CloseHook to SolrCore.  The test now looks like:
283,lucene,254,2,Key: SOLR-418
284,lucene,285,1,default empty parameter for \sort\
285,lucene,286,1,that know they need certain options could either not use the factor
286,lucene,287,1,I've somewhat agressively removed issues that were labeled 1.3 by
287,lucene,288,1,Should this be changed?
288,lucene,256,1,Ryan McKinley reassigned SOLR-602:
289,lucene,290,2,<lst name=\genre\>
290,lucene,291,1,--Noble Paul
291,lucene,292,2,[javac] /tmp/apache-solr-nightly/contrib/dataimporthandler/target/classes
292,lucene,268,2,Issue Type: Task
293,lucene,294,2,@@ -2
294,lucene,275,2,Key: SOLR-716
295,lucene,296,1,h4. Technical specifications
296,lucene,297,1,-Mike
297,lucene,298,1,// first create the partial reuters index
298,lucene,299,2,: String name = request.getParameter(\name\);
299,lucene,300,2,+ request = Solr::Request::AddDocument.new([{:title => \A...A<<A$?A-APA1/4AY=\
300,lucene,284,1,Reporter: bram de jong
301,lucene,302,2,2010-02-22 22:24:30.722::WARN: org.mortbay.jetty.webapp.WebAppContext@7f5580{/sol
302,lucene,303,2,import org.apache.solr.schema.FieldType;
303,lucene,304,2,URL: https://issues.apache.org/jira/browse/SOLR-1591
304,lucene,305,2,[junit] request: http://localhost:9999/solr/update?wt=javabin&version=2.2)
305,lucene,306,1,The problem is: every core re-instance the connectionpool (this seems to
306,lucene,307,1,I'll seriously vote to call it \Apache Solr Miller Edition\ if you pay for
307,lucene,308,2,Date: Sat Jun 10 19:18:38 2006
308,lucene,309,2,<long name=\id\>35</long>
309,lucene,310,1,-Cache Query objects in handlers ??
310,lucene,311,2,at java.lang.Thread.run(Thread.java:595)
311,lucene,312,2,contrib/javascript/lib/jsdoc/jsdoc-toolkit/app/test/jsdoc_test.js
312,lucene,289,1,On 10/12/0
313,lucene,314,2,@@ -13
314,lucene,315,1,projects have a tendency to create their own words to somewhat
315,lucene,316,2,cumulativeStats.add(cache.getStats());
316,lucene,317,2,+ A private NativeFSLockFactory lockFactory;
317,lucene,318,2,: +  out.println(\  <threadDump>\);
318,lucene,319,1,Each slave is doing 4 updates to zk per second in this case. You are more reliant on having a stable framework for Z
319,lucene,293,2,Key: SOLR-1638
320,lucene,321,1,the solr-user mailing list
321,lucene,322,2,[ https://issues.apache.org/jira/browse/SOLR-532?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]
322,lucene,323,2,[line 221] A getFieldParam(field
323,lucene,324,2,contrib/javascript/lib/jsdoc/jsdoc-toolkit/templates/jsdoc/allclasses.tmpl
324,lucene,325,1,Suggestion#1...
325,lucene,295,2,: Date: Tue
326,lucene,327,1,What about a new parameter like collapse.facet=[pre|post] ?
327,lucene,328,1,analysis.jsp messes up token positions
328,lucene,329,2,[ https://issues.apache.org/jira/browse/SOLR-1044?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=12678121#action_12678121 ]
329,lucene,330,2,public int intersectionSize(DocSet other) {
330,lucene,331,1,If you don't see solr.xml
331,lucene,332,2,i
332,lucene,333,2,y__8983__solr/webapp/WEB-INF/lib/xpp3-1.1.3.4.O.jar;C:\\DOCUME~1\\yaponte\\CONF
333,lucene,334,1,\If you can't find it
334,lucene,335,1,Solr is taking.
335,lucene,301,2,Attachments: SOLR-350-jsp-fixes.patch
336,lucene,337,1,* ant dist -> creates a single js file and a jar that holds velocity templates.
337,lucene,338,1,If this is a feature and not a bug please change the issue type
338,lucene,339,1,For one of our projects - we need custom admin monitoring hooks that
339,lucene,340,2,Map<fieldName
340,lucene,341,1,regardless of the number of core
341,lucene,342,2,SomeFactory.future fx = Compatibility.cast(SomeFactory.future.class
342,lucene,343,1,Yet another possibility: http://wiki.apache.org/incubator/Cassandra
343,lucene,344,1,SolrJ does not support binding of dynamic fields to bean fields
344,lucene,345,2,ConcurrentModificationException
345,lucene,346,1,As pointed out in this thread...
346,lucene,347,1,separate name so it doesn't appear that you're actually installing
347,lucene,348,1,Sorry for all the question
348,lucene,349,1,: I'd serve the page
349,lucene,350,2,q=solr&start=0&rows=10
350,lucene,351,1,#NAME?
351,lucene,352,1,When i search for a word say \international
352,lucene,353,2,+ > > <test-macro pattern=\T\/>
353,lucene,354,1,We had something internally
354,lucene,355,2,[ https://issues.apache.org/jira/browse/SOLR-1869?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=12854983#action_12854983 ]
355,lucene,356,1,The wiki (http://wiki.apache.org/solr/UpdateXmlMessages) explains that
356,lucene,357,2,URL: https://issues.apache.org/jira/browse/SOLR-1728
357,lucene,358,2,A [junit] Running org.apache.solr.OutputWriterTest
358,lucene,359,1,We also are not storing the OCRed text.  Since the total size of the index
359,lucene,360,1,For several areas in this patch
360,lucene,361,2,[junit] 2008-04-02 08:16:37.542::INFO:  Shutdown hook executing
361,lucene,362,1,right place to me.
362,lucene,313,2,Key: SOLR-350
363,lucene,364,1,I guess I'm confused by TokenStream Factories - if you mean
364,lucene,365,1,Properties contex
365,lucene,366,2,at org.apache.lucene.search.highlight.Highlighter.getBestTextFragments(Highlighter.java:239)
366,lucene,367,2,XmlUpdateRequestHandler.log.warn(\unexpected attribute
367,lucene,368,2,<!--'text' is an implicit field emited by TikaEntityProcessor . Map it appropriately-->
368,lucene,369,1,... much more
369,lucene,370,2,ache\\solr\\client\\solrj\\beans\\Field.java.tmp:33:38:expecting LPARE
370,lucene,371,1,Committed revision 745615.
371,lucene,372,1,What Bob doesn't realize (and what Carl wasn't aware of) is that elsewhere in his schema.xml file
372,lucene,373,1,I'm not sure if i agree with that statement .. i would think that figuring
373,lucene,374,1,number based on how long the entire response took to generate/sen
374,lucene,375,2,DirectUpdateHandler2:
375,lucene,376,2,<HTTP>
376,lucene,326,2,Key: SOLR-645
377,lucene,378,1,files included in release that shouldn't be
378,lucene,379,1,: insist that using the core before 'init' has been called would lead to
379,lucene,380,2,[javac] C:\\workspace\\TTT\\src\\java\\org\\apache\\solr\\util\\CommonParams.java:164:
380,lucene,381,1,changes are needed that would be easier to make here.
381,lucene,382,1,View this message in context: http://www.nabble.com/dynamic-filtering-tp20079841p20080481.html
382,lucene,383,1,WhitespaceTokenizer... at that point
383,lucene,384,1,guess what?!?
384,lucene,385,2,[junit] 2008-08-27 08:17:29.377::INFO:  Shutdown hook complete
385,lucene,386,1,Would it make more sense for DIH to farm out it's content acquisition to a
386,lucene,387,2,http://www.nabble.com/Re%3A-svn-commit%3A-r547495---in--lucene-solr-trunk%3A-example-solr-conf-solrconfig.xml-src-java-org-apache-solr-handler-StaxUpdateRequestHandler.java-src-java-org-apache-solr-handler-UpdateRequestProcessor.jav-tf3950072.html#a11206583
387,lucene,388,1,The code can be written against JDBC. But we need to test the DDL and
388,lucene,389,2,: +<?xml-stylesheet type=\text/xsl\ href=\analysis.xsl\?>
389,lucene,336,2,STATUS:
390,lucene,391,2,<str>runUpdate</str>
391,lucene,363,1,Ryan McKinley commented on SOLR-555:
392,lucene,393,1,To solve this problem we can simply add two methods to the SolrQueryResponse class (like void setAvoidHTTPCaching(boolean) and boolean isAvoidHTTPCaching() - the default for the value would be false). The update request handlers should set this to true all the time. The partial response stuff can set this to true as well.
393,lucene,394,1,the new spellcheck.collate feature seems to exhibit some strange behaviors when handed a query with multiple tokens.
394,lucene,395,2,<add>
395,lucene,396,1,SolrConfig inherits from Config which has been modified; Config is now more strictly a dom document (filled from some resource) and methods to evaluate xpath expressions. Config also continues to be the classloader singleton that allows to easily instantiate classes located in the Solr installation directory.
396,lucene,377,1,Lars Kotthoff updated SOLR-534:
397,lucene,398,1,I have the following use case:
398,lucene,399,1,I've got more info on this.
399,lucene,400,2,public interface SolrCoreAware {
400,lucene,401,2,at org.apache.solr.client.solrj.LargeVolumeTestBase.query(LargeVolumeTestBase.java:63)
401,lucene,402,1,Other issues:
402,lucene,403,1,schema.xml and solrconfig.xml use CNET-internal class names
403,lucene,404,2,[ https://issues.apache.org/jira/browse/SOLR-667?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=12650055#action_12650055 ]
404,lucene,405,1,Remove support for (broken) abortOnConfigurationError
405,lucene,406,1,Urg... looks like there's no end-to-end (index then search) test for
406,lucene,407,1,every object the JsonResponseWriter outputs?
407,lucene,408,1,After some tracing through the solr cod
408,lucene,409,1,by
409,lucene,390,2,Project: Solr
410,lucene,411,1,I'm not familiar enought with the Sink/Tee stuff to know what we would need -- but we should make sure any SchemaField/FieldType changes open the door to this.
411,lucene,412,1,The libDir element is extracted from the XML configuration file and parsed in the Config constructor.
412,lucene,413,2,[ https://issues.apache.org/jira/browse/SOLR-1255?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=12729970#action_12729970 ]
